avg_hits;avg_hits_on_has_hits;has_hits;precision;precision_on_has_hits;recall;embedding;prec+recall@;rec_method
0,10843373493975904;1;252;0,10843373493975904;1;0,005114408007426986;default;1;rec_album_or_query
0,10456110154905336;1;243;0,10456110154905336;1;0,00495376249616596;default;1;rec_query_tracks
0,09896729776247848;1;230;0,09896729776247848;1;0,004644972902414417;default;1;rec_query_tracks_with_user_scaled
0,8919965576592083;6,06140350877193;342;0,08919965576592073;0,6061403508771923;0,04059793513305786;default;10;rec_album_or_query
0,08648881239242685;1;201;0,08648881239242685;1;0,0038918862472291727;default;1;rec_first_two_query_tracks_with_user_scaled
0,08476764199655766;1;197;0,08476764199655766;1;0,003908376425166235;default;1;rec_first_two_query_tracks
1,2435456110154905;8,027777777777779;360;0,082903040734366;0,5351851851851849;0,05395691755037685;default;15;rec_album_or_query
0,07917383820998279;1;184;0,07917383820998279;1;0,003219918901132877;default;1;rec_first_two_query_tracks_with_user
0,7895869191049913;4,919571045576408;373;0,07895869191049902;0,49195710455763997;0,03408399132650883;default;10;rec_query_tracks_with_user_scaled
0,7758175559380379;5,093220338983051;354;0,07758175559380368;0,5093220338983044;0,033912994451885406;default;10;rec_query_tracks
0,07401032702237521;1;172;0,07401032702237521;1;0,0035160909458745422;default;1;rec_multiple_queries_tracks
1,0675559380378659;6,345268542199489;391;0,07117039586919095;0,42301790281329865;0,044014808569255;default;15;rec_query_tracks_with_user_scaled
1,064974182444062;6,6;375;0,07099827882960406;0,4399999999999996;0,04415802971922154;default;15;rec_query_tracks
0,7074010327022375;4,407506702412869;373;0,07074010327022368;0,44075067024128634;0,02985698374250177;default;10;rec_first_two_query_tracks_with_user_scaled
0,6880378657487092;4,504225352112676;355;0,0688037865748709;0,4504225352112675;0,029199187194626663;default;10;rec_first_two_query_tracks
0,9539586919104991;5,612658227848101;395;0,0635972461273666;0,3741772151898734;0,038483164180751414;default;15;rec_first_two_query_tracks_with_user_scaled
0,9397590361445783;5,747368421052632;380;0,06265060240963857;0,38315789473684225;0,03807465645148768;default;15;rec_first_two_query_tracks
0,6191910499139415;3,277904328018223;439;0,061919104991393976;0,3277904328018214;0,023979700278052234;default;10;rec_first_two_query_tracks_with_user
0,060240963855421686;1;140;0,060240963855421686;1;0,0023695488511844874;default;1;rec_query_tracks_with_user
0,8438037865748709;3,9938900203665986;491;0,05625358577165811;0,2662593346911068;0,03099320288361145;default;15;rec_first_two_query_tracks_with_user
0,05464716006884682;1;127;0,05464716006884682;1;0,0022383053881838916;default;1;rec_multiple_queries_tracks_with_user
0,5228055077452668;4,10472972972973;296;0,0522805507745266;0,41047297297297236;0,022117458451817566;default;10;rec_multiple_queries_tracks
0,725473321858864;5,26875;320;0,048364888123924296;0,3512500000000002;0,028811975111915675;default;15;rec_multiple_queries_tracks
0,4444922547332186;2,550617283950617;405;0,044449225473321766;0,2550617283950612;0,015165722972773465;default;10;rec_query_tracks_with_user
0,43115318416523235;2,745205479452055;365;0,04311531841652316;0,27452054794520503;0,01593241569658621;default;10;rec_multiple_queries_tracks_with_user
0,6092943201376936;2,9623430962343096;478;0,04061962134251296;0,1974895397489542;0,01982763433934029;default;15;rec_query_tracks_with_user
0,5998278829604131;3,272300469483568;426;0,03998852553069423;0,21815336463223797;0,020770003817879627;default;15;rec_multiple_queries_tracks_with_user
0,019793459552495698;1;46;0,019793459552495698;1;0,0003819888152361055;default;1;rec_tracks_with_user
0,28012048192771083;2,3003533568904593;283;0,018674698795180775;0,15335689045936438;0,004672057458894807;default;15;rec_tracks_with_user
0,18631669535283993;1,9330357142857142;224;0,018631669535284046;0,193303571428572;0,0031986862639288164;default;10;rec_tracks_with_user